glottocode	longitude	latitude	dist2ocean	dist2lakes	dist2rivers	dist2water
abua1244	6.615	4.831	27.0024340589794	9.58843787746845	4.68140530515627	4.68140530515627
acol1236	32.515	3.577	1104.32088345037	60.7436969520779	50.8359514240426	50.8359514240426
ainu1240	142.462	43.634	73.6735757076235	7.67174074285626	16.452663955982	7.67174074285626
alba1267	20	41	51.74756081317	3.6818642828161	3.6818642828161	3.6818642828161
alge1239	3.23	35.421	136.500530087197	30.0016462652071	76.8410719539748	30.0016462652071
amha1245	39.543	11.708	299.329560633539	28.6988557607013	117.857502567413	28.6988557607013
anga1288	93.867	25.684	397.528833687753	71.457359527632	115.838962937549	71.457359527632
mesc1238	254.434	33.129	734.638015597646	23.9186494983683	137.951097029702	23.9186494983683
stan1318	43.853	27.963	390.67143413801	158.428475890102	405.739511430543	158.428475890102
nucl1235	45	40	337.418908566498	21.8178292715918	30.9670607668712	21.8178292715918
assa1263	91.293	26.088	389.618377237531	36.3225041158871	3.07958623537584	3.07958623537584
assy1241	43	36.75	519.410725951644	10.4321051866282	15.1319345223794	10.4321051866282
awng1244	36.692	10.982	553.584183046123	28.4049722096661	59.1881357611327	28.4049722096661
cent2142	291.5	-17	239.068875294241	23.5912868754332	31.5675501107773	23.5912868754332
kara1465	42.261	43.565	117.085064147239	28.754333471544	37.5855210205301	28.754333471544
basq1248	-1.32	43.28	32.4744528694682	17.5815758486876	7.20375647133682	7.20375647133682
bela1254	25.604	53.231	347.85060860613	5.88728482100999	41.203669923568	5.88728482100999
krio1252	137.669	-18.135	147.042672467164	77.4305567288218	35.4714717763088	35.4714717763088
bhil1251	73.959	20.85	109.06413246615	9.12391328872396	16.2101628146467	9.12391328872396
biet1238	92.943	24.274	215.6315933061	57.866591722019	48.3992578489903	48.3992578489903
bulg1262	25.047	43.365	216.12078250341	2.98332104788228	29.6130676705864	2.98332104788228
yuec1235	113	23	86.5703256901706	4.43472024895671	4.43472024895671	4.43472024895671
cham1312	144.745	13.438	3.41889996403832	7.67111857818996	1815.72932041517	3.41889996403832
mand1415	116.228	40.021	180.190845487934	3.91587724050088	3.91587724050088	3.91587724050088
chot1239	94.241	24.372	309.833729959097	43.1980109229242	46.0544780738878	43.1980109229242
chuv1255	47.163	55.487	953.456486659234	4.9005899666626	29.2778121143732	4.9005899666626
czec1258	15.104	49.873	411.054569798995	2.95977067018739	7.59936845717554	2.95977067018739
dani1285	9.363	54.866	14.4130678276274	1.47304208965851	33.8765982639161	1.47304208965851
dubl1239	73.218	21.516	50.1430286400133	11.7872219340185	19.9992049275282	11.7872219340185
dutc1256	5	52	52.2650504867544	4.91051692820353	4.91051692820353	4.91051692820353
stan1293	-1	53	65.0715742380354	1.40519454699905	1.40519454699905	1.40519454699905
erzy1239	45.39	52.855	734.919271722902	2.92221648415876	2.92221648415876	2.92221648415876
peno1244	262.99	17.067	103.627796284346	40.7926073836239	131.84443858063	40.7926073836239
west2369	55.159	28.659	187.585224792622	115.236226945683	200.764494070416	115.236226945683
fiji1243	178.33	-18	21.758553671963	28.2700663371177	12.1319805071124	12.1319805071124
taga1270	121.747	14.06	12.2331338848012	17.8312104455521	11.5126698065224	11.5126698065224
finn1318	25.558	64.763	9.5445452929392	13.436722006467	15.4079507707157	9.5445452929392
stan1290	2	48	205.720366887064	6.33347896415801	9.63406195041853	6.33347896415801
pula1263	-13.448	13.869	271.865437395325	30.8178466992238	75.8023901916369	30.8178466992238
scot1245	-5.244	56.757	4.72006190203135	9.52033973118578	8.32736830426778	4.72006190203135
gami1242	73.684	21.07	80.8626715003104	5.54876198626813	15.3922822815094	5.54876198626813
stan1295	12.468	48.649	316.964963525045	3.69456127515779	3.69456127515779	3.69456127515779
pare1266	83.972	19.075	58.579867545286	20.9870817094076	14.7711231561067	14.7711231561067
mode1248	24.87	42.322	122.424723124668	8.2301991592187	23.3815990847602	8.2301991592187
guja1252	71.096	22.687	26.7738190590085	0.996845960637552	53.2028893828889	0.996845960637552
gusi1247	34.768	-0.789	636.098505664868	39.5553253347781	42.1917624578372	39.5553253347781
hadz1240	35.05	-3.83	456.037795467819	6.44009070244954	92.0975765680348	6.44009070244954
hakk1236	116	25	170.883400775121	9.72988291983435	52.5446255652699	9.72988291983435
haus1257	8.78	11.151	687.058369411012	30.0481425394897	138.418552562649	30.0481425394897
hind1269	77	25	518.510481058198	7.15179732609883	23.9780085949852	7.15179732609883
hung1274	19.656	46.907	424.160048841225	4.44028705924117	34.4271337701771	4.44028705924117
kala1399	307.136	69.376	4.57502897986402	22.6596558002558	119.365436942343	4.57502897986402
nort2945	198.193	64.78	14.0772602251955	2.2827035206284	2.47489612922432	2.2827035206284
ital1282	12.649	43.046	70.9155972156325	9.22929634363389	16.0568966908032	9.22929634363389
teso1249	33.939	1.183	820.430280059984	24.1797323326582	38.7038080208507	24.1797323326582
nucl1643	135	35	52.6213505830533	1.29037054915433	1.29037054915433	1.29037054915433
hebr1245	35.018	31.106	53.8809701531807	9.51113987720074	18.2779361424723	9.51113987720074
jola1263	-15.735	12.758	44.6690887890355	16.5081518354541	20.1270221011142	16.5081518354541
kaba1278	43.392	43.508	176.309336782555	28.5340462011346	10.9293523664283	10.9293523664283
kaya1330	308.326	-7.774	794.903566750252	111.027019444112	92.7370256190306	92.7370256190306
dhan1264	73.742	20.772	86.5230901244712	2.92216749249928	20.5323002222512	2.92216749249928
chig1238	29.912	-1.044	1104.86008528287	20.5534067646845	50.6813360462973	20.5534067646845
kiku1240	36.719	-0.29	472.590273158389	29.7680424478055	87.4177305729469	29.7680424478055
kili1267	151.072	-8.726	3.84153428551208	96.7040427415105	239.583186666423	3.84153428551208
komi1268	54.946	64.053	467.609789992747	27.6495736482191	50.6163213451174	27.6495736482191
komi1269	54.796	59.66	880.755930813848	21.1982263576279	28.3923980238164	21.1982263576279
konk1267	73.917	19.241	107.127053548974	2.65597211504431	7.60068180574101	2.65597211504431
kore1280	128	37.5	77.5552601285114	6.09113928635672	5.90794728133611	5.90794728133611
krah1246	312.423	-8.012	596.780758147366	60.6479036141031	37.0700087027995	37.0700087027995
kurd1259	45.81	35.65	363.548915969528	31.8307372448344	82.4778104432374	31.8307372448344
laca1243	268.577	17.021	146.86378771557	5.6823207799474	14.2230681619932	5.6823207799474
latv1249	24.309	56.826	33.3501874309273	3.96726640945484	5.98801056717744	3.96726640945484
ling1263	19.783	1.403	1102.6910648274	50.843177296495	18.2799353036934	18.2799353036934
gand1255	32.152	0.669	968.915315495179	35.7645796949363	90.7187025573875	35.7645796949363
luok1236	34.49	-0.933	656.597930622797	23.2297022076884	35.9165018448209	23.2297022076884
liby1240	15.001	22.003	992.337452931624	295.033703958156	238.556499130365	238.556499130365
maha1287	77.532	31.009	971.035994768224	59.2866201216954	29.8319513937077	29.8319513937077
manx1243	-4.454	54.26	4.92288652550508	4.02038750220975	66.5454743174459	4.02038750220975
maor1246	176.541	-38.288	37.0992705450287	3.86520711362071	16.4980762160409	3.86520711362071
mara1378	76.667	17.934	362.249591811182	4.59046571112167	34.2859341894756	4.59046571112167
mari1278	48.41	55.83	972.265250763625	0.636507784162726	10.7465199804833	0.636507784162726
yuca1254	271.043	18.776	83.6974784983725	21.4319760451082	82.4476153842184	21.4319760451082
meso1252	43.11	33.818	597.481174609155	4.13656100485929	27.3731187777964	4.13656100485929
stan1288	-1.118	40.441	97.8836679414526	10.5355876034097	103.681679891796	10.5355876034097
minn1241	118.17	24.5	24.1105578006035	4.71783386456612	12.535102228547	4.71783386456612
moks1248	42.673	54.186	815.227125987306	3.80341123336068	18.5449996147062	3.80341123336068
moro1292	-7.5	32.5	110.003689738561	3.44240938186054	39.8937016157219	3.44240938186054
muyu1244	152.731	-9.195	13.3427047745316	158.899440331448	385.470665599913	13.3427047745316
cent2132	261.7	19.125	193.692703342765	17.3498725813996	54.2416860916971	17.3498725813996
nava1243	249.918	36.211	630.151414025163	18.4492193649492	94.66817078079	18.4492193649492
nene1249	71.023	66.178	37.8067536304944	12.2108604100145	25.5511114673533	12.2108604100145
nepa1254	85	28	710.249271381413	5.87658717695292	15.4388624086267	5.87658717695292
