"","Parenga","Car_Nicobarese","Vietnamese","Fijian","Wallisian","Samoan","Maori","Tonga_","Kilivila","Muyuw","Chamorro","Tagalog","Pottangi_Ollar_Gadaba","Telugu","Riang_","Newari","Biete","Chothe_Naga","Angami_Naga","Mandarin_Chinese","Hakka_Chinese","Min_Nan_Chinese","Yue_Chinese","Thai","Nyunga","Hausa","Awngi","Mesopotamian_Arabic","South_Levantine_Arabic","Algerian_Arabic","Libyan_Arabic","Moroccan_Arabic","Tunisian_Arabic","Standard_Arabic","Assyrian_Neo-Aramaic","Hebrew","Amharic","Tigre","Jola-Fonyi","Pulaar","Serer","Nuclear_Wolof","Lingala","Kikuyu","Gusii","Ganda","Chiga","Nyankole","Rundi","Xhosa","Zulu","Southern_Sotho","Tswana","Venda","Yoruba","Abua","Khana","Hadza","Nama_","Teso","Acoli","Luo_","Kabardian","Ainu_","Basque","Albanian","Modern_Armenian","Latvian","Belarusian","Russian","Ukrainian","Bulgarian","Macedonian","Czech","Polish","Welsh","Manx","Scottish_Gaelic","Danish","Norwegian","Standard_German","Dutch","Swiss_German","Kriol","Standard_English","Modern_Greek_","Eastern_Pahari","Mahasu_Pahari","Bhili","Gamit","Dubli","Gujarati","Vasavi","Dhanki","Bundeli","Hindi","Urdu","Assamese","Western_Panjabi","Sindhi","Konkani","Marathi","Kurdish","Western_Farsi","Italian","Sicilian","Standard_French","Standard_Spanish","Nuclear_Japanese","Korean","Chuvash","Tatar","Karachay-Balkar","Nuclear_Turkish","Finnish","Hungarian","Mari","Erzya","Moksha","Komi-Zyrian","Komi-Permyak","Lule_Sami","Nenets","Yucuna","Central_Aymara","Central_Tunebo","Shuar","Xavánte","Kaingang","Kayapó","Krahô","Panoan_Katukína","Ticuna","Nhengatu","Yanomamö","Mescalero-Chiricahua_Apache","Navajo","Northwest_Alaska_Inupiatun","Kalaallisut","Central_Yupik","Tzeltal","Tzotzil","Lacandon","Yucatec_Maya","Peñoles_Mixtec","Central_Nahuatl"
"Navajo",200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,25.3968253968254,0,177.777777777778,177.777777777778,177.777777777778,177.777777777778,177.777777777778,177.777777777778,177.777777777778,177.777777777778,177.777777777778
"Northwest_Alaska_Inupiatun",200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,177.777777777778,177.777777777778,0,71.1111111111112,106.666666666667,177.777777777778,177.777777777778,177.777777777778,177.777777777778,177.777777777778,177.777777777778
"Kalaallisut",200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,177.777777777778,177.777777777778,71.1111111111112,0,106.666666666667,177.777777777778,177.777777777778,177.777777777778,177.777777777778,177.777777777778,177.777777777778
"Central_Yupik",200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,177.777777777778,177.777777777778,106.666666666667,106.666666666667,0,177.777777777778,177.777777777778,177.777777777778,177.777777777778,177.777777777778,177.777777777778
"Tzeltal",200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,177.777777777778,177.777777777778,177.777777777778,177.777777777778,177.777777777778,0,29.6296296296296,118.518518518519,118.518518518519,177.777777777778,177.777777777778
"Tzotzil",200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,177.777777777778,177.777777777778,177.777777777778,177.777777777778,177.777777777778,29.6296296296296,0,118.518518518519,118.518518518519,177.777777777778,177.777777777778
"Lacandon",200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,177.777777777778,177.777777777778,177.777777777778,177.777777777778,177.777777777778,118.518518518519,118.518518518519,0,39.5061728395062,177.777777777778,177.777777777778
"Yucatec_Maya",200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,177.777777777778,177.777777777778,177.777777777778,177.777777777778,177.777777777778,118.518518518519,118.518518518519,39.5061728395062,0,177.777777777778,177.777777777778
"Peñoles_Mixtec",200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,199.999999999999,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,177.777777777778,177.777777777778,177.777777777778,177.777777777778,177.777777777778,177.777777777778,177.777777777778,177.777777777778,177.777777777778,0,177.777777777778
"Central_Nahuatl",200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,177.777777777778,177.777777777778,177.777777777778,177.777777777778,177.777777777778,177.777777777778,177.777777777778,177.777777777778,177.777777777778,177.777777777778,0
