"","Parenga","Car_Nicobarese","Vietnamese","Fijian","Wallisian","Samoan","Maori","Tonga_","Kilivila","Muyuw","Chamorro","Tagalog","Pottangi_Ollar_Gadaba","Telugu","Riang_","Newari","Biete","Chothe_Naga","Angami_Naga","Mandarin_Chinese","Hakka_Chinese","Min_Nan_Chinese","Yue_Chinese","Thai","Nyunga","Hausa","Awngi","Mesopotamian_Arabic","South_Levantine_Arabic","Algerian_Arabic","Libyan_Arabic","Moroccan_Arabic","Tunisian_Arabic","Standard_Arabic","Assyrian_Neo-Aramaic","Hebrew","Amharic","Tigre","Jola-Fonyi","Pulaar","Serer","Nuclear_Wolof","Lingala","Kikuyu","Gusii","Ganda","Chiga","Nyankole","Rundi","Xhosa","Zulu","Southern_Sotho","Tswana","Venda","Yoruba","Abua","Khana","Hadza","Nama_","Teso","Acoli","Luo_","Kabardian","Ainu_","Basque","Albanian","Modern_Armenian","Latvian","Belarusian","Russian","Ukrainian","Bulgarian","Macedonian","Czech","Polish","Welsh","Manx","Scottish_Gaelic","Danish","Norwegian","Standard_German","Dutch","Swiss_German","Kriol","Standard_English","Modern_Greek_","Eastern_Pahari","Mahasu_Pahari","Bhili","Gamit","Dubli","Gujarati","Vasavi","Dhanki","Bundeli","Hindi","Urdu","Assamese","Western_Panjabi","Sindhi","Konkani","Marathi","Kurdish","Western_Farsi","Italian","Sicilian","Standard_French","Standard_Spanish","Nuclear_Japanese","Korean","Chuvash","Tatar","Karachay-Balkar","Nuclear_Turkish","Finnish","Hungarian","Mari","Erzya","Moksha","Komi-Zyrian","Komi-Permyak","Lule_Sami","Nenets","Yucuna","Central_Aymara","Central_Tunebo","Shuar","Xavánte","Kaingang","Kayapó","Krahô","Panoan_Katukína","Ticuna","Nhengatu","Yanomamö","Mescalero-Chiricahua_Apache","Navajo","Northwest_Alaska_Inupiatun","Kalaallisut","Central_Yupik","Tzeltal","Tzotzil","Lacandon","Yucatec_Maya","Peñoles_Mixtec","Central_Nahuatl"
"Chamorro",188.235294117647,188.235294117647,188.235294117647,152.941176470588,152.941176470588,152.941176470588,152.941176470588,152.941176470588,152.941176470588,152.941176470588,0,152.941176470588,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
"Tagalog",188.235294117647,188.235294117647,188.235294117647,152.941176470588,152.941176470588,152.941176470588,152.941176470588,152.941176470588,152.941176470588,152.941176470588,152.941176470588,0,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
"Pottangi_Ollar_Gadaba",188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,0,150.588235294118,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
"Telugu",188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,150.588235294118,0,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
"Riang_",188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,0,164.705882352941,164.705882352941,164.705882352941,164.705882352941,164.705882352941,164.705882352941,164.705882352941,164.705882352941,188.235294117647,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
"Newari",188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,164.705882352941,0,164.705882352941,164.705882352941,164.705882352941,164.705882352941,164.705882352941,164.705882352941,164.705882352941,188.235294117647,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
"Biete",188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,164.705882352941,164.705882352941,0,112.941176470588,141.176470588235,164.705882352941,164.705882352941,164.705882352941,164.705882352941,188.235294117647,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
"Chothe_Naga",188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,164.705882352941,164.705882352941,112.941176470588,0,141.176470588235,164.705882352941,164.705882352941,164.705882352941,164.705882352941,188.235294117647,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
"Angami_Naga",188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,164.705882352941,164.705882352941,141.176470588235,141.176470588235,0,164.705882352941,164.705882352941,164.705882352941,164.705882352941,188.235294117647,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,199.999999999999,199.999999999999,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,199.999999999999,200,200,200,200,200,200,200,200,200,200,200,200,200,199.999999999999,200
"Mandarin_Chinese",188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,164.705882352941,164.705882352941,164.705882352941,164.705882352941,164.705882352941,0,123.529411764706,123.529411764706,123.529411764706,188.235294117647,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
"Hakka_Chinese",188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,164.705882352941,164.705882352941,164.705882352941,164.705882352941,164.705882352941,123.529411764706,0,82.3529411764705,82.3529411764706,188.235294117647,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
"Min_Nan_Chinese",188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,164.705882352941,164.705882352941,164.705882352941,164.705882352941,164.705882352941,123.529411764706,82.3529411764705,0,82.3529411764705,188.235294117647,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
"Yue_Chinese",188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,164.705882352941,164.705882352941,164.705882352941,164.705882352941,164.705882352941,123.529411764706,82.3529411764706,82.3529411764705,0,188.235294117647,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
"Thai",188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
"Nyunga",200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
"Hausa",200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,0,170,170,170,170,170,170,170,170,170,170,170,170,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
"Awngi",200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,170,0,170,170,170,170,170,170,170,170,170,170,170,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
"Mesopotamian_Arabic",200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,170,170,0,68,68,68,67.9999999999999,68,68,113.333333333333,113.333333333333,132.222222222222,132.222222222222,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
"South_Levantine_Arabic",200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,170,170,68,0,68,68,67.9999999999999,68,68,113.333333333333,113.333333333333,132.222222222222,132.222222222222,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
"Algerian_Arabic",200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,170,170,68,68,0,45.3333333333334,45.3333333333333,45.3333333333334,68,113.333333333333,113.333333333333,132.222222222222,132.222222222222,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
"Libyan_Arabic",200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,170,170,68,68,45.3333333333334,0,45.3333333333333,45.3333333333334,68,113.333333333333,113.333333333333,132.222222222222,132.222222222222,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
"Moroccan_Arabic",200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,170,170,67.9999999999999,67.9999999999999,45.3333333333333,45.3333333333333,0,45.3333333333333,67.9999999999999,113.333333333333,113.333333333333,132.222222222222,132.222222222222,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
"Tunisian_Arabic",200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,170,170,68,68,45.3333333333334,45.3333333333334,45.3333333333333,0,68,113.333333333333,113.333333333333,132.222222222222,132.222222222222,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
"Standard_Arabic",200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,170,170,68,68,68,68,67.9999999999999,68,0,113.333333333333,113.333333333333,132.222222222222,132.222222222222,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
"Assyrian_Neo-Aramaic",200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,170,170,113.333333333333,113.333333333333,113.333333333333,113.333333333333,113.333333333333,113.333333333333,113.333333333333,0,94.4444444444443,132.222222222222,132.222222222222,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
"Hebrew",200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,170,170,113.333333333333,113.333333333333,113.333333333333,113.333333333333,113.333333333333,113.333333333333,113.333333333333,94.4444444444443,0,132.222222222222,132.222222222222,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
"Amharic",200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,170,170,132.222222222222,132.222222222222,132.222222222222,132.222222222222,132.222222222222,132.222222222222,132.222222222222,132.222222222222,132.222222222222,0,105.777777777778,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
"Tigre",200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,170,170,132.222222222222,132.222222222222,132.222222222222,132.222222222222,132.222222222222,132.222222222222,132.222222222222,132.222222222222,132.222222222222,105.777777777778,0,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
"Jola-Fonyi",200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,0,148.148148148148,148.148148148148,148.148148148148,177.777777777778,177.777777777778,177.777777777778,177.777777777778,177.777777777778,177.777777777778,177.777777777778,177.777777777778,177.777777777778,177.777777777778,177.777777777778,177.777777777778,177.777777777778,177.777777777778,177.777777777778,188.888888888889,188.888888888889,188.888888888889,188.888888888889,188.888888888889,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
