glottocode	longitude	latitude	UV_305_mean	UV_305_sd	UV_310_mean	UV_310_sd	UV_325_mean	UV_325_sd	UV_380_mean	UV_380_sd	UV_A_mean	UV_A_sd	UV_B_mean	UV_B_sd	UV_mean	UV_sd
hind1269	77	25	79.4916387959866	20.6515294375672	120.110367892977	25.7621645118185	420.066889632107	72.8379340610353	742.842809364549	122.300153545209	581.454849498328	190.273691093926	99.8010033444816	30.9408394097546	340.627926421405	276.787460455649
hung1274	19.656	46.907	17.0149560117302	14.6163721382344	36.8287390029326	25.7175619989515	187.66275659824	93.9107244550532	353.404692082111	171.893881016343	270.533724340176	161.347072225139	26.9218475073314	23.1336081163715	148.727785923754	167.695696297777
kala1399	307.136	69.376	5.82717391304348	7.86118801931991	15.4141304347826	17.6421123133674	100.597463768116	82.0923765306696	193.488768115942	159.559333337803	147.043115942029	135.022461624303	10.620652173913	14.4638108106876	78.831884057971	117.765719905422
nort2945	198.193	64.78	6.6	7.6446386441741	17.7330218068536	17.2134313445242	114.130841121495	83.9675224542371	221.648286604361	161.924584505774	167.889563862928	139.655343865977	12.1665109034268	14.4266778135859	90.0280373831776	126.155985393278
ital1282	12.649	43.046	21.428869047619	17.3674296270766	43.916369047619	28.575127477562	209.613095238095	99.9887710468807	392.824404761905	181.970381712355	301.21875	172.995562789292	32.6726190476191	26.1698275710326	166.94568452381	182.585448605359
teso1249	33.939	1.183	91.4612546125461	19.0940501857042	128.214022140221	26.3327416752005	419.19557195572	84.3798430091318	746.309963099631	156.312957249464	582.752767527675	206.27188449783	109.837638376384	29.4335842538409	346.29520295203	278.659247983379
nucl1643	135	35	44.6448916408669	24.6274879924326	78.005572755418	34.1575091990979	319.996904024768	114.90275387269	591.49226006192	204.975901709255	455.744582043344	214.527571296953	61.3252321981424	34.1161958564176	258.534907120743	249.993005813377
hebr1245	35.018	31.106	47.8789137380192	21.2116260476533	81.6162939297125	28.2055599459051	321.565495207668	92.3768915240961	589.424920127796	165.783846039854	455.495207667732	189.594145418567	64.7476038338658	30.1123719797893	260.121405750799	237.934976350019
jola1263	-15.735	12.758	89.6789667896679	14.9976627945455	128.822878228782	20.3616831650713	432.80442804428	61.6822393155961	772.361623616236	110.68287299149	602.583025830258	192.070072336414	109.250922509225	26.5130621920573	355.916974169742	282.276271367883
kaba1278	43.392	43.508	23.4282738095238	18.1154639473102	47.6068452380952	29.977040679964	222.52380952381	106.991781097705	416.014880952381	195.971174590636	319.269345238095	185.101246104011	35.5175595238095	27.5472500946262	177.393452380952	194.013864375472
kaya1330	308.326	-7.774	89.3345323741007	21.7970528005822	126.161870503597	28.6714058884834	415.586330935252	88.1972155895689	740.719424460432	160.300441242323	578.152877697842	207.804794078853	107.748201438849	31.4179253419984	342.950539568345	278.271474918081
dhan1264	73.742	20.772	74.7927835051546	19.5939113383655	112.419243986254	25.1277324630938	394.975945017182	80.7897832311419	714.941580756014	145.31509173437	554.958762886598	198.586246845013	93.6060137457045	29.3485126732279	324.282388316151	270.903921867195
chig1238	29.912	-1.044	89.9781818181818	19.493950876355	126.349090909091	27.3048809353413	413.985454545455	90.476716806082	737.2	167.558073601952	575.592727272727	210.386143253443	108.163636363636	29.8843329608673	341.878181818182	277.901688019617
kiku1240	36.719	-0.29	93.0727272727273	16.9972674332985	130.178181818182	23.2636639929221	425.490909090909	76.368505548305	757.818181818182	142.269033069058	591.654545454545	201.676011903041	111.625454545455	27.5522634231449	351.64	279.9227038766
kili1267	151.072	-8.726	89.6485507246377	14.876572114972	129.282608695652	19.421446114282	438.115942028986	54.8392788844264	784.746376811594	95.8233648937045	611.43115942029	190.200817477876	109.465579710145	26.3084918634257	360.448369565217	285.424248908485
komi1268	54.946	64.053	9.0521875	10.3343324797359	23.1875	22.4986958869713	145.815	102.097871294577	290.5496875	195.869839385989	218.18234375	172.050971313801	16.11984375	18.8691589946374	117.15109375	158.689551612032
komi1269	54.796	59.66	11.3412790697674	12.5828836768253	27.1002906976744	25.3350751903497	157.727034883721	103.700513205075	306.008720930233	191.467122023213	231.867877906977	170.813014377677	19.2207848837209	21.487021666831	125.544331395349	161.621562278361
konk1267	73.917	19.241	77.2105263157895	18.7852362261998	114.736842105263	23.9774882065827	400.666666666667	76.5307020535387	723.824561403509	136.942611966028	562.245614035088	196.05388957359	95.9736842105263	28.5615484159063	329.109649122807	272.04652369943
kore1280	128	37.5	35.4195266272189	24.0777370559135	64.3266272189349	35.6487455239777	272.204142011834	124.907810683465	502.476331360947	227.862928698216	387.340236686391	216.766417193843	49.8730769230769	33.6619822923703	218.606656804734	229.204472081745
krah1246	312.423	-8.012	87.7818181818182	23.8312887849001	124.625454545455	31.5038186665888	411.047272727273	96.8541756135259	733.76	175.252770108369	572.403636363636	214.694939219916	106.203636363636	33.4480319728198	339.303636363636	279.230934891558
kurd1259	45.81	35.65	37.7993939393939	20.860161116828	68.809696969697	29.4187815538744	286.660606060606	96.0229517250445	528.569696969697	171.964413659505	407.615151515152	184.442004934742	53.3045454545455	29.8344304759863	230.459848484848	221.018178614833
laca1243	268.577	17.021	75.3667820069204	23.8910374515495	110.615916955017	32.6692370790383	382.356401384083	109.13995046272	686.885813148789	200.722628823074	534.621107266436	221.991076773886	92.9913494809689	33.5972412817769	313.806228373702	272.000020045765
latv1249	24.309	56.826	9.06540697674419	9.6779540194704	23.3796511627907	21.2022770627977	145.227906976744	95.6729349010179	284.665697674419	180.998965536987	214.946802325581	160.605923333628	16.2225290697674	17.9583766200859	115.584665697674	151.422918948454
ling1263	19.783	1.403	98.3874538745387	12.8709142878176	137.361623616236	17.6970975738761	448.413284132841	55.3914591683967	799.630996309963	101.170247046858	624.022140221402	193.739500266771	117.874538745387	24.8883446964177	370.948339483395	288.383569575839
gand1255	32.152	0.669	90.6909090909091	19.7855959618278	127.407272727273	27.3985444665442	416.789090909091	88.8713038032046	742.145454545455	164.630022958118	579.467272727273	209.716700706906	109.049090909091	30.1275876620443	344.258181818182	278.922241189178
luok1236	34.49	-0.933	91.6821428571429	19.2773299652425	128.596428571429	26.6195414535859	420.867857142857	87.0213196535467	749.714285714286	161.393763041178	585.291071428571	209.436417082324	110.139285714286	29.6718226356736	347.715178571429	280.793103339272
liby1240	15.001	22.003	75.152027027027	17.9167716886062	114.719594594595	21.8963448966966	411.858108108108	68.179176714196	746.722972972973	115.76892946631	579.290540540541	192.590770244744	94.9358108108108	28.135626349329	337.113175675676	278.612367072541
maha1287	77.532	31.009	57.9330065359477	25.5661172182956	94.4016339869281	32.5809282029723	361.238562091503	99.3707346331514	655.771241830065	172.066361454023	508.504901960784	203.546674618957	76.1673202614379	34.484814523813	292.336111111111	260.88303056517
manx1243	-4.454	54.26	9.65321637426901	10.005900233261	24.0783625730994	20.6529967635894	147.190058479532	86.085626168607	286.026315789474	159.787714405551	216.608187134503	145.853488503252	16.8657894736842	17.7494783489504	116.736988304094	144.110369616015
maor1246	176.541	-38.288	33.9788519637462	27.690329345894	59.4069486404834	37.9873796434571	247.655589123867	118.726739184797	457.924471299094	210.740247351773	352.79003021148	200.697436807244	46.6929003021148	35.5684930149939	199.741465256798	210.233576923094
mara1378	76.667	17.934	79.1505376344086	20.1683273864251	116.225806451613	26.8518969088348	402.763440860215	87.9664011050224	724.767025089606	159.95457827203	563.76523297491	206.397623282837	97.6881720430108	30.1187876237949	330.726702508961	275.843638109418
mari1278	48.41	55.83	12.0221574344023	13.7984946635852	28.2206997084548	27.1632138066227	158.815451895044	113.563373451921	304.68221574344	212.321657955992	231.748833819242	185.130461058619	20.1214285714286	23.0029504613432	125.935131195335	169.095315368462
yuca1254	271.043	18.776	75.1746575342466	21.7781766350065	110.917808219178	29.3208361810308	382.705479452055	98.4546692354967	688.082191780822	181.199952468429	535.393835616438	211.141240306487	93.0462328767123	31.3974071023137	314.220034246575	267.812351095846
meso1252	43.11	33.818	43.0058641975309	20.4959090426881	75.725	27.7161590437099	306.493827160494	90.4060839971381	563.293209876543	160.002661985032	434.893518518519	182.68255950363	59.3654320987654	29.3473117574066	247.129475308642	228.880827978775
stan1288	-1.118	40.441	27.7877245508982	21.3473714841256	53.1889221556886	33.1846408361361	237.215568862275	115.23847162501	440.455089820359	210.454768747897	338.835329341317	197.697897308093	40.4883233532934	30.6405819258195	189.661826347305	205.587121773371
minn1241	118.17	24.5	67.8294701986755	22.1739864136454	106	28.8556955000343	387.208609271523	92.5046799142231	703.162251655629	163.064557764402	545.185430463576	206.258340127021	86.9147350993377	32.030012326688	316.050082781457	272.60350396284
moks1248	42.673	54.186	11.3498542274052	11.3970701955817	27.3032069970845	22.8839090580841	157.05889212828	94.641157459737	303.822157434402	176.253125322574	230.440524781341	159.293968312507	19.3265306122449	19.7490872797639	124.883527696793	154.994541415203
moro1292	-7.5	32.5	48.2776073619632	24.189088864689	81.3889570552147	34.0711707705818	318.015337423313	118.022174230919	582.444785276074	214.205368790973	450.230061349693	217.642442333195	64.833282208589	33.8548189731563	257.531671779141	247.789712236753
muyu1244	152.731	-9.195	88.8566308243728	15.4817443239727	128.462365591398	20.0441378823983	436.236559139785	58.6830404304434	781.756272401434	102.262875858548	608.996415770609	191.931681034208	108.659498207885	26.7022045586789	358.827956989247	285.304989775503
cent2132	261.7	19.125	73.2765957446808	21.4909089057211	108.507092198582	28.5126235273326	373.985815602837	94.9788128324146	666.879432624114	175.148680111706	520.432624113475	203.22038033502	90.8918439716312	30.7754833822441	305.662234042553	259.367177988845
nava1243	249.918	36.211	51.2370149253731	30.5258534293408	87.0364179104478	40.6409750055983	345.588059701493	121.475893375491	620.614925373134	208.768368085525	483.101492537313	219.237130590959	69.1367164179104	40.1335974640358	276.119104477612	260.178721809153
nene1249	71.023	66.178	6.51233766233766	8.35526967400527	17.1224025974026	19.0070341361223	108.187337662338	90.2027430593415	206.46038961039	171.521807587326	157.323863636364	145.485130350762	11.8173701298701	15.600564099641	84.5706168831169	126.464576765782
nepa1254	85	28	59.026402640264	25.6332131905679	93.9306930693069	34.3066394706582	348.689768976898	113.619220553063	635.13201320132	205.149313410875	491.910891089109	219.085662661132	76.4785478547855	34.9366378321062	284.194719471947	260.328374966542
newa1246	84.958	27.261	59.026402640264	25.6332131905679	93.9306930693069	34.3066394706582	348.689768976898	113.619220553063	635.13201320132	205.149313410875	491.910891089109	219.085662661132	76.4785478547855	34.9366378321062	284.194719471947	260.328374966542
nhen1239	293.035	1.045	84.6007326007326	16.7234732721661	118.161172161172	22.1741858084586	387.912087912088	70.4478814994244	681.062271062271	129.662910551802	534.487179487179	179.976075934351	101.380952380952	25.82768452453	317.934065934066	251.89742513363
carn1240	92.767	9.189	83.5518518518519	22.2059282477901	119.018518518519	29.1123262009498	397.481481481481	92.2324807798652	709.592592592593	169.695278889156	553.537037037037	207.401961815359	101.285185185185	31.3707875375533	327.411111111111	270.480654561123
nyan1307	30.548	-0.464	91.0553505535055	20.1520304777622	127.715867158672	27.6591101977348	418.490774907749	91.6704994539576	745.90405904059	169.851280324605	582.19741697417	213.169982750846	109.385608856089	30.3496691461555	345.791512915129	281.245841470303
norw1258	10.71	59.92	6.67580174927114	7.71396340709248	17.8973760932945	17.833283131466	114.946647230321	86.5187569435296	222.256559766764	162.668045568111	168.601603498542	140.824262219057	12.2865889212828	14.8329676521407	90.4440962099125	127.009777882407
nyun1247	118.151	-33.12	43.7135542168675	31.2335152414588	73.1879518072289	41.9452531912568	286.55421686747	133.085848132327	529.183734939759	240.624287449292	407.868975903614	229.103451643373	58.4507530120482	39.7859074397539	233.159864457831	239.919896659162
khan1278	7.444	4.709	97.2564102564103	15.5428784621734	135.992673992674	20.3672157042651	443.553113553114	59.7867989023558	789.74358974359	108.307196058012	616.648351648352	194.049868193467	116.624542124542	26.5219324553493	366.636446886447	285.87593001105
pott1240	82.759	18.597	84.8892733564014	19.406511717452	124.266435986159	26.0405989400489	419.965397923875	79.9848000746609	732.871972318339	142.191628608873	576.418685121107	194.435086618885	104.57785467128	30.2450132400729	340.498269896194	273.95209711217
rian1262	92.032	23.68	70.9093959731544	22.4242123300646	108.328859060403	29.189487280825	387.848993288591	95.078493262872	702.875838926175	168.722077435874	545.362416107383	208.744311926212	89.6191275167785	32.0458978076183	317.490771812081	272.490227215956
poli1260	18.626	51.844	11.9860465116279	11.2276850955237	28.834011627907	22.5861236111532	164.896511627907	92.5709384563423	317.186046511628	171.518072665235	241.041279069767	157.393556312408	20.4100290697674	19.7154939033643	130.725654069767	157.321181708368
west2386	75.347	30.095	62.1562893081761	24.4768301192322	99.9685534591195	30.1758090137768	375.503144654088	87.7742569285232	676.603773584906	148.512414116122	526.053459119497	193.798312980273	81.0624213836478	33.3416155244645	303.557940251572	262.417067817897
rund1242	31.319	-1.442	89.3333333333333	21.1788278931901	125.540740740741	29.6500689174555	410.940740740741	97.5341147418826	731.148148148148	180.868866153824	571.044444444444	216.228598770854	107.437037037037	31.4794411002448	339.240740740741	278.627909518015
russ1263	50	59	12.3223837209302	13.3068317626993	29.6956395348837	26.7472089745453	173.816860465116	109.507983417179	333.311046511628	198.664210580732	253.563953488372	179.056240040925	21.009011627907	22.8289348857395	137.28648255814	172.654521734381
lule1254	17.806	67.276	5.29319727891156	6.91730934555544	14.8309523809524	16.2412095765577	102.165306122449	79.7537795037189	198.154081632653	154.694273298899	150.159693877551	132.011649599151	10.062074829932	13.3539703893501	80.1108843537415	117.073575849895
samo1305	188.17	-13.92	75.7330960854093	20.8481741412258	112.163701067616	25.7377203557409	385.622775800712	75.5531037046809	690.889679715302	133.983975322093	538.256227758007	187.476397103608	93.9483985765125	29.6639377730687	316.10231316726	259.60343281182
sere1260	-16.392	13.894	88.4086021505376	16.0111718365195	127.659498207885	21.3828288140887	430.78853046595	65.7230543110755	768.960573476703	117.096138425664	599.874551971326	194.012211662142	108.034050179211	27.2396885781739	353.954301075269	282.321034497256
shua1257	281.811	-3.451	85.7773722627737	21.515257360692	121.591240875912	29.2820200729644	400.43795620438	93.2351284482409	711.105839416058	170.911818090049	555.771897810219	207.581108956621	103.684306569343	31.3082914483087	329.728102189781	270.476246603411
sici1248	14.041	37.574	34.2823353293413	22.1910951067622	62.4688622754491	33.0784551134978	262.625748502994	114.236152571079	483.535928143713	208.439598619983	373.080838323353	201.059068627996	48.3755988023952	31.4808342794033	210.728218562874	216.957373030924
sind1272	69	26	71.5066666666667	21.1746193331048	110.566666666667	25.0476246490044	402.1	72.5820260234739	732.533333333333	121.779924682771	567.316666666667	193.325090732511	91.0366666666667	30.3155688012248	329.176666666667	275.479220855509
sout2807	27.895	-30.445	48.9865203761755	29.1066576942608	81.528526645768	38.2989051195591	317.579937304075	120.217409338965	580.824451410658	211.40948201484	449.202194357367	216.513942169397	65.2575235109718	37.6874867091707	257.229858934169	247.007405640151
sout3123	38.084	31.56	47.4888888888889	19.2852135621387	81.2444444444444	25.0540929299125	320.292063492064	81.0197178595073	587.079365079365	142.470390441178	453.685714285714	176.725226490014	64.3666666666667	28.0059129573084	259.02619047619	232.202026016551
swis1247	8.464	47.052	16.1044247787611	14.0495197082337	35.6038348082596	25.3048727102879	186.159292035398	93.6733812864011	352.076696165192	171.573280408108	269.117994100295	161.152526264792	25.8541297935103	22.6592419521104	147.486061946903	167.443308876485
tata1255	50	55	12.3210526315789	13.6739395543361	28.5081871345029	26.41916998592	157.190058479532	106.830952138853	301.497076023392	199.405299825414	229.343567251462	175.39655242557	20.4146198830409	22.5261732851234	124.879093567251	162.926550610955
telu1262	78.702	16.453	80.979020979021	19.8393436972194	118.055944055944	26.7693923736233	406.671328671329	86.132274956056	732.447552447552	156.860500247348	569.559440559441	206.307911697803	99.5174825174825	29.9733923212134	334.538461538462	277.47946304669
