glottocode	latitude	longitude	humidity_overall_mean	humidity_overall_median	humidity_overall_sd	humidity_overall_IQR	humidity_mean_annual_mean	humidity_mean_annual_median	humidity_mean_annual_sd	humidity_mean_annual_IQR
abua1244	4.831	6.615	0.0182165621089508	0.0182600002735853	0.000949655007076146	0.00120750023052096	0.0182127495532854	0.0182499576411727	0.000850278640017764	0.00109315899640529
acol1236	3.577	32.515	0.0148491788865013	0.0154900001361966	0.00177550012462329	0.00147749925963581	0.0148480366506065	0.0154132450697944	0.00156862818920324	0.00163422844747806
ainu1240	43.634	142.462	0.00678058449338496	0.0058699999935925	0.00362880460104874	0.00635250000050291	0.0067701845104446	0.00593993054806358	0.00375327370290332	0.00581931944341502
alba1267	41	20	0.00741650012624613	0.00735500012524426	0.00213656193337009	0.00356999970972538	0.00741242134668931	0.00740687498990964	0.00216534075291898	0.00350795037391233
alge1239	35.421	3.23	0.0067203779724407	0.00649500009603798	0.00127726696237918	0.00206500000786036	0.00671777689322622	0.00646166666410863	0.00127542010849872	0.00192508576825882
amha1245	11.708	39.543	0.0103724451012701	0.00992499990388751	0.00291819285665576	0.00518249999731779	0.0103716917393019	0.00992781596788619	0.00279830578547821	0.00417975551196529
anga1288	25.684	93.867	0.0136350432306632	0.014459999743849	0.00476353236183668	0.00964750023558736	0.0136249584565519	0.0142051381796288	0.00493669834729158	0.00933614440792654
mesc1238	33.129	254.434	0.00583537610134844	0.0047499998472631	0.00273207879426108	0.00439999997615814	0.00582559054095644	0.00485941387079139	0.00272539727672581	0.00411024303806092
stan1318	27.963	43.853	0.00461019615133647	0.00450999988242984	0.000980338220449938	0.00101750029716641	0.00460881521930608	0.00453873820111362	0.00085377426339912	0.000943892705739321
nucl1235	40	45	0.00651631316947284	0.00628499989397824	0.00308209019303264	0.00584999984130263	0.00650884598793882	0.00630639929376129	0.00318403856264701	0.00550508990838555
assa1263	26.088	91.293	0.0131160609667257	0.0139800002798438	0.00489293515235937	0.0102274999953806	0.0131059056909966	0.0135191451214875	0.00507375313734905	0.00990207155215709
assy1241	36.75	43	0.00726359149051444	0.00692500011064112	0.00234521434894461	0.00392499973531812	0.0072637335465373	0.006925266662923	0.00237612474123174	0.00362571144715831
awng1244	10.982	36.692	0.0118582343871516	0.0127650001086295	0.00215237342511841	0.00336750014685094	0.0118524726884213	0.0124117062401233	0.00202952101864653	0.00318734542815946
cent2142	-17	291.5	0.00823692482079885	0.00856999959796667	0.00198176799052897	0.00329500052612275	0.00824075284304493	0.00863395831483002	0.0019704207376391	0.0031213930374684
kara1465	43.565	42.261	0.0070290646813202	0.00597500009462237	0.00348504841795116	0.00649500032886863	0.00701342378012107	0.00615890209640687	0.00356317355897271	0.00586124898028275
basq1248	43.28	-1.32	0.00744999289791597	0.00707499985583127	0.00211995250396065	0.00355500041041523	0.00745037669547015	0.00706349374377169	0.00215873475086431	0.00344435802576805
