glottocode	gen_D1	gen_D2	gen_D3	gen_D4	gen_D5	gen_D6	gen_D7	gen_D8	gen_D9	gen_D10
abua1244	0.530041054749903	1.6196899163724	1.07155311095517	1.70742837380768	-2.42747920550411	-2.06231183679373	1.1400940309251	0.717268709604724	2.48145649385323	1.01832321109275
acol1236	2.48714578549915	0.518208038231189	-3.38382487993573	2.26952699716178	0.219394452765618	-0.9645618038727	1.96335256936065	-2.26342591602715	0.358146602496947	0.768894679627569
ainu1240	-0.0704149655504797	-1.52371131398832	3.02351954205691	1.55242844850462	-2.05110963997995	0.845185446999763	1.08008940805126	-0.0598216625551677	-0.41274292070906	-1.34517748522124
alba1267	-2.77482919292788	2.15906190532066	-1.36732959854407	-2.18030689123564	-0.667780477670077	0.829670348813611	-0.336691989445076	-1.68412499487417	1.45440215429322	-0.568696429129301
alge1239	-0.800685773677961	0.846882838566939	0.602136629709376	-1.02981332931865	0.919424117853784	1.66167196046266	-0.399029083265901	0.695961703423627	-0.164642690955856	-0.512598190253389
amha1245	2.12607189785825	1.15423805628113	0.0615424898550962	-0.56390186983862	-1.2751305673543	0.291567966868902	0.184845696204007	-2.69782117023229	-3.7470478122192	2.58404585144214
anga1288	1.40626502139993	-1.70981731003866	-1.18450111308669	-0.672340239425869	1.38537342579986	0.82674434627136	-1.11557561169885	-0.362442835400651	-0.297932279331569	-0.0692443096208835
assa1263	-1.1887775884207	-0.484634362151043	0.129287524469888	1.53316997354785	-0.273279121436966	1.6828488408724	-3.05698985700605	3.86860973150495	-1.74015261743187	1.30420121761946
assy1241	0.0523103888469527	-0.619977538994812	-1.89909068790003	-1.81725977599575	1.32745272630199	0.084566884774995	0.272503490522203	0.334567919649127	2.43769488402066	1.71945785847842
awng1244	2.12607189785824	1.15423805628114	0.0615424898550993	-0.563901869838619	-1.27513056735433	0.291567966868889	0.184845696204075	-2.69782117023226	-3.74704781221927	2.58404585144214
basq1248	-2.39874380425432	2.53506443746921	2.47342728813738	-0.750293010779374	-0.219913749755541	0.523069220213168	0.767243204500245	-1.15388172358655	-1.43537797202015	1.57688874336396
bela1254	0.346965696936969	-0.212932847765365	-0.108330357620607	-1.89137098934232	-0.595036447674598	1.6866928776946	2.7733832529049	1.27815193895138	1.31172580236201	-1.60574245404456
bhil1251	1.40626502139993	-1.70981731003865	-1.1845011130867	-0.672340239425868	1.38537342579989	0.826744346271322	-1.11557561169886	-0.36244283540065	-0.297932279331591	-0.06924430962089
biet1238	1.40626502139993	-1.70981731003865	-1.1845011130867	-0.672340239425868	1.38537342579989	0.826744346271323	-1.11557561169886	-0.36244283540065	-0.297932279331591	-0.0692443096208898
bulg1262	-2.77482919292788	2.15906190532067	-1.36732959854408	-2.18030689123563	-0.667780477670082	0.829670348813585	-0.336691989445123	-1.6841249948742	1.45440215429323	-0.568696429129315
